match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,out/not_out,match_id
U.S.A. Vs India,U.S.A.,9,Jasdeep Singh,run out (â€ Pant/Mohammed Siraj),2,7,0,0,28.57,out,T20I # 2671
U.S.A. Vs India,India,1,Rohit Sharma,c Harmeet Singh b Netravalkar,3,6,0,0,50,out,T20I # 2671
U.S.A. Vs India,India,2,Virat Kohli,c â€ Gous b Netravalkar,0,1,0,0,0,out,T20I # 2671
U.S.A. Vs India,India,3,Rishabh Pant, b Ali Khan,18,20,1,1,90,out,T20I # 2671
U.S.A. Vs India,India,4,Suryakumar Yadav,not out,50,49,2,2,102.04,not_out,T20I # 2671
U.S.A. Vs India,India,5,Shivam Dube,not out,31,35,1,1,88.57,not_out,T20I # 2671
Bangladesh Vs Australia,Bangladesh,1,Tanzid Hasan, b Starc,0,3,0,0,0,out,T20I # 2711
Bangladesh Vs Australia,Bangladesh,2,Litton Das, b Zampa,16,25,2,0,64,out,T20I # 2711
Bangladesh Vs Australia,Bangladesh,3,Najmul Hossain Shanto,lbw b Zampa,41,36,5,1,113.88,out,T20I # 2711
Bangladesh Vs Australia,Bangladesh,4,Rishad Hossain,c Zampa b Maxwell,2,4,0,0,50,out,T20I # 2711
Bangladesh Vs Australia,Bangladesh,5,Towhid Hridoy,c Hazlewood b Cummins,40,28,2,2,142.85,out,T20I # 2711
Bangladesh Vs Australia,Bangladesh,6,Shakib Al Hasan,c & b Stoinis,8,10,0,0,80,out,T20I # 2711
Bangladesh Vs Australia,Bangladesh,7,Mahmudullah, b Cummins,2,3,0,0,66.66,out,T20I # 2711
Bangladesh Vs Australia,Bangladesh,8,Mahedi Hasan,c Zampa b Cummins,0,1,0,0,0,out,T20I # 2711
Bangladesh Vs Australia,Bangladesh,9,Taskin Ahmed,not out,13,7,1,0,185.71,not_out,T20I # 2711
Bangladesh Vs Australia,Bangladesh,10,Tanzim Hasan Sakib,not out,4,3,0,0,133.33,not_out,T20I # 2711
Bangladesh Vs Australia,Australia,1,David Warner,not out,53,35,5,3,151.42,not_out,T20I # 2711
Bangladesh Vs Australia,Australia,2,Travis Head, b Rishad Hossain,31,21,3,2,147.61,out,T20I # 2711
Bangladesh Vs Australia,Australia,3,Mitchell Marsh,lbw b Rishad Hossain,1,6,0,0,16.66,out,T20I # 2711
Bangladesh Vs Australia,Australia,4,Glenn Maxwell,not out,14,6,1,1,233.33,not_out,T20I # 2711
Afghanistan Vs Australia,Afghanistan,1,Rahmanullah Gurbaz,c Warner b Stoinis,60,49,4,4,122.44,out,T20I # 2717
Afghanistan Vs Australia,Afghanistan,2,Ibrahim Zadran,c Marsh b Zampa,51,48,6,0,106.25,out,T20I # 2717
Afghanistan Vs Australia,Afghanistan,3,Azmatullah Omarzai, b Zampa,2,3,0,0,66.66,out,T20I # 2717
Afghanistan Vs Australia,Afghanistan,4,Karim Janat,c David b Cummins,13,9,0,1,144.44,out,T20I # 2717
Afghanistan Vs Australia,Afghanistan,5,Rashid Khan,c David b Cummins,2,5,0,0,40,out,T20I # 2717
Afghanistan Vs Australia,Afghanistan,6,Mohammad Nabi,not out,10,4,2,0,250,not_out,T20I # 2717
Afghanistan Vs Australia,Afghanistan,7,Gulbadin Naib,c Maxwell b Cummins,0,1,0,0,0,out,T20I # 2717
Afghanistan Vs Australia,Afghanistan,8,Nangeyalia Kharote,not out,1,1,0,0,100,not_out,T20I # 2717
Afghanistan Vs Australia,Australia,1,Travis Head, b Naveen-ul-Haq,0,3,0,0,0,out,T20I # 2717
Afghanistan Vs Australia,Australia,2,David Warner,c Noor Ahmad b Mohammad Nabi,3,8,0,0,37.5,out,T20I # 2717
Afghanistan Vs Australia,Australia,3,Mitchell Marsh,c Mohammad Nabi b Naveen-ul-Haq,12,9,2,0,133.33,out,T20I # 2717
Afghanistan Vs Australia,Australia,4,Glenn Maxwell,c Noor Ahmad b Gulbadin Naib,59,41,6,3,143.9,out,T20I # 2717
Afghanistan Vs Australia,Australia,5,Marcus Stoinis,c â€ Rahmanullah Gurbaz b Gulbadin Naib,11,17,1,0,64.7,out,T20I # 2717
Afghanistan Vs Australia,Australia,6,Tim David,lbw b Gulbadin Naib,2,4,0,0,50,out,T20I # 2717
Afghanistan Vs Australia,Australia,7,Matthew Wade,c Karim Janat b Rashid Khan,5,7,0,0,71.42,out,T20I # 2717
Afghanistan Vs Australia,Australia,8,Pat Cummins, b Gulbadin Naib,3,9,0,0,33.33,out,T20I # 2717
Afghanistan Vs Australia,Australia,9,Ashton Agar,c Gulbadin Naib b Naveen-ul-Haq,2,5,0,0,40,out,T20I # 2717
Afghanistan Vs Australia,Australia,10,Adam Zampa,c Mohammad Nabi b Azmatullah Omarzai,9,7,1,0,128.57,out,T20I # 2717
Afghanistan Vs Australia,Australia,11,Josh Hazlewood,not out,5,7,0,0,71.42,not_out,T20I # 2717
Sri Lanka Vs Bangladesh,Sri Lanka,1,Pathum Nissanka,c Najmul Hossain Shanto b Mustafizur Rahman,47,28,7,1,167.85,out,T20I # 2646
Sri Lanka Vs Bangladesh,Sri Lanka,2,Kusal Mendis, b Taskin Ahmed,10,8,2,0,125,out,T20I # 2646
Sri Lanka Vs Bangladesh,Sri Lanka,3,Kamindu Mendis,c Tanzim Hasan Sakib b Mustafizur Rahman,4,5,1,0,80,out,T20I # 2646
Sri Lanka Vs Bangladesh,Sri Lanka,4,Dhananjaya de Silva,st â€ Litton Das b Rishad Hossain,21,26,1,0,80.76,out,T20I # 2646
Sri Lanka Vs Bangladesh,Sri Lanka,5,Charith Asalanka,c Shakib Al Hasan b Rishad Hossain,19,21,0,1,90.47,out,T20I # 2646
Sri Lanka Vs Bangladesh,Sri Lanka,6,Wanindu Hasaranga,c Soumya Sarkar b Rishad Hossain,0,1,0,0,0,out,T20I # 2646
Sri Lanka Vs Bangladesh,Sri Lanka,7,Angelo Mathews,c Mustafizur Rahman b Tanzim Hasan Sakib,16,19,1,0,84.21,out,T20I # 2646
Sri Lanka Vs Bangladesh,Sri Lanka,8,Dasun Shanaka,c â€ Litton Das b Taskin Ahmed,3,7,0,0,42.85,out,T20I # 2646
Sri Lanka Vs Bangladesh,Sri Lanka,9,Maheesh Theekshana,c Tanzim Hasan Sakib b Mustafizur Rahman,0,3,0,0,0,out,T20I # 2646
Sri Lanka Vs Bangladesh,Sri Lanka,10,Matheesha Pathirana,not out,0,1,0,0,0,not_out,T20I # 2646
Sri Lanka Vs Bangladesh,Sri Lanka,11,Nuwan Thushara,not out,0,1,0,0,0,not_out,T20I # 2646
Sri Lanka Vs Bangladesh,Bangladesh,1,Tanzid Hasan, b Thushara,3,6,0,0,50,out,T20I # 2646
Sri Lanka Vs Bangladesh,Bangladesh,2,Soumya Sarkar,c Hasaranga b de Silva,0,2,0,0,0,out,T20I # 2646
Sri Lanka Vs Bangladesh,Bangladesh,3,Litton Das,lbw b Hasaranga,36,38,2,1,94.73,out,T20I # 2646
Sri Lanka Vs Bangladesh,Bangladesh,4,Najmul Hossain Shanto,c Asalanka b Thushara,7,13,0,0,53.84,out,T20I # 2646
Sri Lanka Vs Bangladesh,Bangladesh,5,Towhid Hridoy,lbw b Hasaranga,40,20,1,4,200,out,T20I # 2646
Sri Lanka Vs Bangladesh,Bangladesh,6,Shakib Al Hasan,c Theekshana b Pathirana,8,14,0,0,57.14,out,T20I # 2646
Sri Lanka Vs Bangladesh,Bangladesh,7,Mahmudullah,not out,16,13,0,1,123.07,not_out,T20I # 2646
Sri Lanka Vs Bangladesh,Bangladesh,8,Rishad Hossain, b Thushara,1,3,0,0,33.33,out,T20I # 2646
Sri Lanka Vs Bangladesh,Bangladesh,9,Taskin Ahmed,lbw b Thushara,0,1,0,0,0,out,T20I # 2646
Sri Lanka Vs Bangladesh,Bangladesh,10,Tanzim Hasan Sakib,not out,1,4,0,0,25,not_out,T20I # 2646
South Africa Vs U.S.A.,South Africa,1,Quinton de Kock,c Shayan Jahangir b Harmeet Singh,74,40,7,5,185,out,T20I # 2708
South Africa Vs U.S.A.,South Africa,2,Reeza Hendricks,c Anderson b Netravalkar,11,11,0,1,100,out,T20I # 2708
South Africa Vs U.S.A.,South Africa,3,Aiden Markram,c Ali Khan b Netravalkar,46,32,4,1,143.75,out,T20I # 2708
South Africa Vs U.S.A.,South Africa,4,David Miller,c & b Harmeet Singh,0,1,0,0,0,out,T20I # 2708
South Africa Vs U.S.A.,South Africa,5,Heinrich Klaasen,not out,36,22,0,3,163.63,not_out,T20I # 2708
South Africa Vs U.S.A.,South Africa,6,Tristan Stubbs,not out,20,16,2,0,125,not_out,T20I # 2708
South Africa Vs U.S.A.,U.S.A.,1,Steven Taylor,c Klaasen b Rabada,24,14,4,1,171.42,out,T20I # 2708
South Africa Vs U.S.A.,U.S.A.,2,Andries Gous,not out,80,47,5,5,170.21,not_out,T20I # 2708
South Africa Vs U.S.A.,U.S.A.,3,Nitish Kumar,c Stubbs b Rabada,8,6,0,1,133.33,out,T20I # 2708
South Africa Vs U.S.A.,U.S.A.,4,Aaron Jones,c â€ de Kock b Maharaj,0,5,0,0,0,out,T20I # 2708
South Africa Vs U.S.A.,U.S.A.,5,Corey Anderson, b Nortje,12,12,0,1,100,out,T20I # 2708
South Africa Vs U.S.A.,U.S.A.,6,Shayan Jahangir,lbw b Shamsi,3,9,0,0,33.33,out,T20I # 2708
South Africa Vs U.S.A.,U.S.A.,7,Harmeet Singh,c Stubbs b Rabada,38,22,2,3,172.72,out,T20I # 2708
South Africa Vs U.S.A.,U.S.A.,8,Jasdeep Singh,not out,2,6,0,0,33.33,not_out,T20I # 2708
Netherlands Vs South Africa,Netherlands,1,Michael Levitt,c â€ de Kock b Jansen,0,3,0,0,0,out,T20I # 2649
Netherlands Vs South Africa,Netherlands,2,Max O'Dowd,c Jansen b Baartman,2,6,0,0,33.33,out,T20I # 2649
Netherlands Vs South Africa,Netherlands,3,Vikramjit Singh, b Jansen,12,17,1,0,70.58,out,T20I # 2649
Netherlands Vs South Africa,Netherlands,4,Sybrand Engelbrecht,c Jansen b Baartman,40,45,2,1,88.88,out,T20I # 2649
Netherlands Vs South Africa,Netherlands,5,Bas de Leede,c Miller b Nortje,6,16,0,0,37.5,out,T20I # 2649
Netherlands Vs South Africa,Netherlands,6,Scott Edwards,run out (Markram),10,9,0,1,111.11,out,T20I # 2649
Netherlands Vs South Africa,Netherlands,7,Teja Nidamanuru,c Klaasen b Nortje,0,1,0,0,0,out,T20I # 2649
Netherlands Vs South Africa,Netherlands,8,Logan van Beek,c Nortje b Baartman,23,22,3,0,104.54,out,T20I # 2649
Netherlands Vs South Africa,Netherlands,9,Tim Pringle,c Markram b Baartman,0,2,0,0,0,out,T20I # 2649
Netherlands Vs South Africa,Netherlands,10,Paul van Meekeren,not out,1,1,0,0,100,not_out,T20I # 2649
Netherlands Vs South Africa,South Africa,1,Reeza Hendricks, b van Beek,3,10,0,0,30,out,T20I # 2649
Netherlands Vs South Africa,South Africa,2,Quinton de Kock,run out (van Meekeren/O'Dowd),0,0,0,0,-,out,T20I # 2649
Netherlands Vs South Africa,South Africa,3,Aiden Markram,c â€ Edwards b Kingma,0,3,0,0,0,out,T20I # 2649
Netherlands Vs South Africa,South Africa,4,Tristan Stubbs,c van Beek b de Leede,33,37,1,1,89.18,out,T20I # 2649
Netherlands Vs South Africa,South Africa,5,Heinrich Klaasen,c Pringle b Kingma,4,7,0,0,57.14,out,T20I # 2649
Netherlands Vs South Africa,South Africa,6,David Miller,not out,59,51,3,4,115.68,not_out,T20I # 2649
Netherlands Vs South Africa,South Africa,7,Marco Jansen, b van Beek,3,5,0,0,60,out,T20I # 2649
Netherlands Vs South Africa,South Africa,8,Keshav Maharaj,not out,0,1,0,0,0,not_out,T20I # 2649
Canada Vs U.S.A.,Canada,1,Aaron Johnson,c Kumar b Harmeet Singh,23,16,5,0,143.75,out,T20I # 2632
Canada Vs U.S.A.,Canada,2,Navneet Dhaliwal,c Jasdeep Singh b Anderson,61,44,6,3,138.63,out,T20I # 2632
Canada Vs U.S.A.,Canada,3,Pargat Singh,run out (Jasdeep Singh/â€ Patel),5,7,0,0,71.42,out,T20I # 2632
Canada Vs U.S.A.,Canada,4,Nicholas Kirton,c Anderson b Ali Khan,51,31,3,2,164.51,out,T20I # 2632
Canada Vs U.S.A.,Canada,5,Shreyas Movva,not out,32,16,2,2,200,not_out,T20I # 2632
Canada Vs U.S.A.,Canada,6,Dilpreet Bajwa,run out (Taylor/â€ Patel),11,5,1,1,220,out,T20I # 2632
Canada Vs U.S.A.,Canada,7,Dilon Heyliger,not out,1,1,0,0,100,not_out,T20I # 2632
Canada Vs U.S.A.,U.S.A.,1,Steven Taylor,lbw b Kaleem Sana,0,2,0,0,0,out,T20I # 2632
Canada Vs U.S.A.,U.S.A.,2,Monank Patel,c â€ Movva b Heyliger,16,16,2,0,100,out,T20I # 2632
Canada Vs U.S.A.,U.S.A.,3,Andries Gous,c Johnson b Dutta,65,46,7,3,141.3,out,T20I # 2632
Canada Vs U.S.A.,U.S.A.,4,Aaron Jones,not out,94,40,4,10,235,not_out,T20I # 2632
Canada Vs U.S.A.,U.S.A.,5,Corey Anderson,not out,3,5,0,0,60,not_out,T20I # 2632
West Indies Vs England,West Indies,1,Brandon King,not out,23,13,3,1,176.92,not_out,T20I # 2709
West Indies Vs England,West Indies,2,Johnson Charles,c Brook b Ali,38,34,4,1,111.76,out,T20I # 2709
West Indies Vs England,West Indies,3,Nicholas Pooran,c â€ Buttler b Archer,36,32,4,1,112.5,out,T20I # 2709
West Indies Vs England,West Indies,4,Rovman Powell,c Wood b Livingstone,36,17,0,5,211.76,out,T20I # 2709
West Indies Vs England,West Indies,5,Andre Russell,c Salt b Rashid,1,2,0,0,50,out,T20I # 2709
West Indies Vs England,West Indies,6,Sherfane Rutherford,not out,28,15,1,2,186.66,not_out,T20I # 2709
West Indies Vs England,West Indies,7,Romario Shepherd,not out,5,7,1,0,71.42,not_out,T20I # 2709
West Indies Vs England,England,1,Phil Salt,not out,87,47,7,5,185.1,not_out,T20I # 2709
West Indies Vs England,England,2,Jos Buttler,lbw b Chase,25,22,2,0,113.63,out,T20I # 2709
West Indies Vs England,England,3,Moeen Ali,c Charles b Russell,13,10,2,0,130,out,T20I # 2709
West Indies Vs England,England,4,Jonny Bairstow,not out,48,26,5,2,184.61,not_out,T20I # 2709
India Vs Australia,India,1,Rohit Sharma, b Starc,92,41,7,8,224.39,out,T20I # 2721
India Vs Australia,India,2,Virat Kohli,c David b Hazlewood,0,5,0,0,0,out,T20I # 2721
India Vs Australia,India,3,Rishabh Pant,c Hazlewood b Stoinis,15,14,1,1,107.14,out,T20I # 2721
India Vs Australia,India,4,Suryakumar Yadav,c â€ Wade b Starc,31,16,3,2,193.75,out,T20I # 2721
India Vs Australia,India,5,Shivam Dube,c Warner b Stoinis,28,22,2,1,127.27,out,T20I # 2721
India Vs Australia,India,6,Hardik Pandya,not out,27,17,1,2,158.82,not_out,T20I # 2721
India Vs Australia,India,7,Ravindra Jadeja,not out,9,5,0,1,180,not_out,T20I # 2721
India Vs Australia,Australia,1,David Warner,c Yadav b Arshdeep Singh,6,6,1,0,100,out,T20I # 2721
India Vs Australia,Australia,2,Travis Head,c Sharma b Bumrah,76,43,9,4,176.74,out,T20I # 2721
India Vs Australia,Australia,3,Mitchell Marsh,c Patel b Kuldeep Yadav,37,28,3,2,132.14,out,T20I # 2721
India Vs Australia,Australia,4,Glenn Maxwell, b Kuldeep Yadav,20,12,2,1,166.66,out,T20I # 2721
India Vs Australia,Australia,5,Marcus Stoinis,c Pandya b Patel,2,4,0,0,50,out,T20I # 2721
India Vs Australia,Australia,6,Tim David,c Bumrah b Arshdeep Singh,15,11,1,1,136.36,out,T20I # 2721
India Vs Australia,Australia,7,Matthew Wade,c Kuldeep Yadav b Arshdeep Singh,1,2,0,0,50,out,T20I # 2721
India Vs Australia,Australia,8,Pat Cummins,not out,11,7,0,1,157.14,not_out,T20I # 2721
India Vs Australia,Australia,9,Mitchell Starc,not out,4,7,0,0,57.14,not_out,T20I # 2721
Ireland Vs Pakistan,Ireland,1,Andy Balbirnie, b Shaheen Shah Afridi,0,3,0,0,0,out,T20I # 2697
Ireland Vs Pakistan,Ireland,2,Paul Stirling,c â€ Mohammad Rizwan b Mohammad Amir,1,2,0,0,50,out,T20I # 2697
Ireland Vs Pakistan,Ireland,3,Lorcan Tucker,c â€ Mohammad Rizwan b Shaheen Shah Afridi,2,2,0,0,100,out,T20I # 2697
Ireland Vs Pakistan,Ireland,4,Harry Tector,lbw b Shaheen Shah Afridi,0,6,0,0,0,out,T20I # 2697
Ireland Vs Pakistan,Ireland,5,Curtis Campher,c Saim Ayub b Haris Rauf,7,14,1,0,50,out,T20I # 2697
Ireland Vs Pakistan,Ireland,6,George Dockrell,c & b Mohammad Amir,11,10,2,0,110,out,T20I # 2697
Ireland Vs Pakistan,Ireland,7,Gareth Delany,c Shadab Khan b Imad Wasim,31,19,1,3,163.15,out,T20I # 2697
Ireland Vs Pakistan,Ireland,8,Mark Adair,c Shaheen Shah Afridi b Imad Wasim,15,19,2,0,78.94,out,T20I # 2697
Ireland Vs Pakistan,Ireland,9,Barry McCarthy, b Imad Wasim,2,7,0,0,28.57,out,T20I # 2697
Ireland Vs Pakistan,Ireland,10,Josh Little,not out,22,18,2,1,122.22,not_out,T20I # 2697
Ireland Vs Pakistan,Ireland,11,Ben White,not out,5,20,0,0,25,not_out,T20I # 2697
Ireland Vs Pakistan,Pakistan,1,Mohammad Rizwan,c Adair b McCarthy,17,16,2,0,106.25,out,T20I # 2697
Ireland Vs Pakistan,Pakistan,2,Saim Ayub,c â€ Tucker b Adair,17,17,2,1,100,out,T20I # 2697
Ireland Vs Pakistan,Pakistan,3,Babar Azam,not out,32,34,2,0,94.11,not_out,T20I # 2697
Ireland Vs Pakistan,Pakistan,4,Fakhar Zaman,c sub (GR Adair) b Campher,5,9,0,0,55.55,out,T20I # 2697
Ireland Vs Pakistan,Pakistan,5,Usman Khan,c Tector b McCarthy,2,3,0,0,66.66,out,T20I # 2697
Ireland Vs Pakistan,Pakistan,6,Shadab Khan,c â€ Tucker b McCarthy,0,2,0,0,0,out,T20I # 2697
Ireland Vs Pakistan,Pakistan,7,Imad Wasim,c Tector b Campher,4,6,1,0,66.66,out,T20I # 2697
Ireland Vs Pakistan,Pakistan,8,Abbas Afridi,c sub (GR Adair) b White,17,21,1,1,80.95,out,T20I # 2697
Ireland Vs Pakistan,Pakistan,9,Shaheen Shah Afridi,not out,13,5,0,2,260,not_out,T20I # 2697
Canada Vs Pakistan,Canada,1,Aaron Johnson, b Naseem Shah,52,44,4,4,118.18,out,T20I # 2665
Canada Vs Pakistan,Canada,2,Navneet Dhaliwal, b Mohammad Amir,4,7,1,0,57.14,out,T20I # 2665
Canada Vs Pakistan,Canada,3,Pargat Singh,c Fakhar Zaman b Shaheen Shah Afridi,2,6,0,0,33.33,out,T20I # 2665
Canada Vs Pakistan,Canada,4,Nicholas Kirton,run out (Imad Wasim),1,6,0,0,16.66,out,T20I # 2665
Canada Vs Pakistan,Canada,5,Shreyas Movva,c â€ Mohammad Rizwan b Haris Rauf,2,9,0,0,22.22,out,T20I # 2665
Canada Vs Pakistan,Canada,6,Ravinderpal Singh,c Fakhar Zaman b Haris Rauf,0,2,0,0,0,out,T20I # 2665
Canada Vs Pakistan,Canada,7,Saad Bin Zafar,c â€ Mohammad Rizwan b Mohammad Amir,10,21,1,0,47.61,out,T20I # 2665
Canada Vs Pakistan,Canada,8,Kaleem Sana,not out,13,14,0,1,92.85,not_out,T20I # 2665
Canada Vs Pakistan,Canada,9,Dilon Heyliger,not out,9,11,1,0,81.81,not_out,T20I # 2665
Canada Vs Pakistan,Pakistan,1,Mohammad Rizwan,not out,53,53,2,1,100,not_out,T20I # 2665
Canada Vs Pakistan,Pakistan,2,Saim Ayub,c â€ Movva b Heyliger,6,12,0,0,50,out,T20I # 2665
Canada Vs Pakistan,Pakistan,3,Babar Azam,c â€ Movva b Heyliger,33,33,1,1,100,out,T20I # 2665
Canada Vs Pakistan,Pakistan,4,Fakhar Zaman,c sub (DS Bajwa) b Gordon,4,6,0,0,66.66,out,T20I # 2665
Canada Vs Pakistan,Pakistan,5,Usman Khan,not out,2,1,0,0,200,not_out,T20I # 2665
South Africa Vs England,South Africa,1,Reeza Hendricks,c Brook b Ali,19,25,1,0,76,out,T20I # 2712
South Africa Vs England,South Africa,2,Quinton de Kock,c â€ Buttler b Archer,65,38,4,4,171.05,out,T20I # 2712
South Africa Vs England,South Africa,3,Heinrich Klaasen,run out (â€ Buttler),8,13,1,0,61.53,out,T20I # 2712
South Africa Vs England,South Africa,4,David Miller,c Brook b Archer,43,28,4,2,153.57,out,T20I # 2712
South Africa Vs England,South Africa,5,Aiden Markram, b Rashid,1,2,0,0,50,out,T20I # 2712
South Africa Vs England,South Africa,6,Tristan Stubbs,not out,12,11,1,0,109.09,not_out,T20I # 2712
South Africa Vs England,South Africa,7,Marco Jansen,c Curran b Archer,0,1,0,0,0,out,T20I # 2712
South Africa Vs England,South Africa,8,Keshav Maharaj,not out,5,2,1,0,250,not_out,T20I # 2712
South Africa Vs England,England,1,Phil Salt,c Hendricks b Rabada,11,8,1,1,137.5,out,T20I # 2712
South Africa Vs England,England,2,Jos Buttler,c Klaasen b Maharaj,17,20,1,0,85,out,T20I # 2712
South Africa Vs England,England,3,Jonny Bairstow,c Nortje b Maharaj,16,20,1,0,80,out,T20I # 2712
South Africa Vs England,England,4,Moeen Ali,c Maharaj b Baartman,9,10,0,0,90,out,T20I # 2712
South Africa Vs England,England,5,Harry Brook,c Markram b Nortje,53,37,7,0,143.24,out,T20I # 2712
South Africa Vs England,England,6,Liam Livingstone,c Stubbs b Rabada,33,17,3,2,194.11,out,T20I # 2712
South Africa Vs England,England,7,Sam Curran,not out,10,7,1,0,142.85,not_out,T20I # 2712
South Africa Vs England,England,8,Jofra Archer,not out,1,2,0,0,50,not_out,T20I # 2712
Afghanistan Vs South Africa,Afghanistan,1,Rahmanullah Gurbaz,c Hendricks b Jansen,0,3,0,0,0,out,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,2,Ibrahim Zadran, b Rabada,2,5,0,0,40,out,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,3,Gulbadin Naib, b Jansen,9,8,2,0,112.5,out,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,4,Azmatullah Omarzai,c Stubbs b Nortje,10,12,2,0,83.33,out,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,5,Mohammad Nabi, b Rabada,0,3,0,0,0,out,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,6,Nangeyalia Kharote,c â€ de Kock b Jansen,2,7,0,0,28.57,out,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,7,Karim Janat,lbw b Shamsi,8,13,1,0,61.53,out,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,8,Rashid Khan, b Nortje,8,8,2,0,100,out,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,9,Noor Ahmad,lbw b Shamsi,0,2,0,0,0,out,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,10,Naveen-ul-Haq,lbw b Shamsi,2,8,0,0,25,out,T20I # 2723
Afghanistan Vs South Africa,Afghanistan,11,Fazalhaq Farooqi,not out,2,2,0,0,100,not_out,T20I # 2723
Afghanistan Vs South Africa,South Africa,1,Quinton de Kock, b Fazalhaq Farooqi,5,8,1,0,62.5,out,T20I # 2723
Afghanistan Vs South Africa,South Africa,2,Reeza Hendricks,not out,29,25,3,1,116,not_out,T20I # 2723
Afghanistan Vs South Africa,South Africa,3,Aiden Markram,not out,23,21,4,0,109.52,not_out,T20I # 2723
U.S.A. Vs England,U.S.A.,1,Steven Taylor,c Ali b Curran,12,13,2,0,92.3,out,T20I # 2719
U.S.A. Vs England,U.S.A.,2,Andries Gous,c Salt b Topley,8,5,0,1,160,out,T20I # 2719
U.S.A. Vs England,U.S.A.,3,Nitish Kumar, b Rashid,30,24,1,2,125,out,T20I # 2719
U.S.A. Vs England,U.S.A.,4,Aaron Jones, b Rashid,10,16,2,0,62.5,out,T20I # 2719
U.S.A. Vs England,U.S.A.,5,Corey Anderson,c Brook b Jordan,29,28,0,1,103.57,out,T20I # 2719
U.S.A. Vs England,U.S.A.,6,Milind Kumar,c â€ Buttler b Livingstone,4,6,0,0,66.66,out,T20I # 2719
U.S.A. Vs England,U.S.A.,7,Harmeet Singh,c Jordan b Curran,21,17,2,1,123.52,out,T20I # 2719
U.S.A. Vs England,U.S.A.,8,Shadley van Schalkwyk,not out,0,0,0,0,-,not_out,T20I # 2719
U.S.A. Vs England,U.S.A.,9,Ali Khan, b Jordan,0,2,0,0,0,out,T20I # 2719
U.S.A. Vs England,U.S.A.,10,Nosthush Kenjige,lbw b Jordan,0,1,0,0,0,out,T20I # 2719
U.S.A. Vs England,U.S.A.,11,Saurabh Netravalkar, b Jordan,0,1,0,0,0,out,T20I # 2719
U.S.A. Vs England,England,1,Phil Salt,not out,25,21,2,0,119.04,not_out,T20I # 2719
U.S.A. Vs England,England,2,Jos Buttler,not out,83,38,6,7,218.42,not_out,T20I # 2719
India Vs South Africa,India,1,Rohit Sharma,c Klaasen b Maharaj,9,5,2,0,180,out,T20I # 2729
India Vs South Africa,India,2,Virat Kohli,c Rabada b Jansen,76,59,6,2,128.81,out,T20I # 2729
India Vs South Africa,India,3,Rishabh Pant,c â€ de Kock b Maharaj,0,2,0,0,0,out,T20I # 2729
India Vs South Africa,India,4,Suryakumar Yadav,c Klaasen b Rabada,3,4,0,0,75,out,T20I # 2729
India Vs South Africa,India,5,Axar Patel,run out (â€ de Kock),47,31,1,4,151.61,out,T20I # 2729
India Vs South Africa,India,6,Shivam Dube,c Miller b Nortje,27,16,3,1,168.75,out,T20I # 2729
India Vs South Africa,India,7,Hardik Pandya,not out,5,2,1,0,250,not_out,T20I # 2729
India Vs South Africa,India,8,Ravindra Jadeja,c Maharaj b Nortje,2,2,0,0,100,out,T20I # 2729
India Vs South Africa,South Africa,1,Reeza Hendricks, b Bumrah,4,5,1,0,80,out,T20I # 2729
India Vs South Africa,South Africa,2,Quinton de Kock,c Kuldeep Yadav b Arshdeep Singh,39,31,4,1,125.8,out,T20I # 2729
India Vs South Africa,South Africa,3,Aiden Markram,c â€ Pant b Arshdeep Singh,4,5,1,0,80,out,T20I # 2729
India Vs South Africa,South Africa,4,Tristan Stubbs, b Patel,31,21,3,1,147.61,out,T20I # 2729
India Vs South Africa,South Africa,5,Heinrich Klaasen,c â€ Pant b Pandya,52,27,2,5,192.59,out,T20I # 2729
India Vs South Africa,South Africa,6,David Miller,c Yadav b Pandya,21,17,1,1,123.52,out,T20I # 2729
India Vs South Africa,South Africa,7,Marco Jansen, b Bumrah,2,4,0,0,50,out,T20I # 2729
India Vs South Africa,South Africa,8,Keshav Maharaj,not out,2,7,0,0,28.57,not_out,T20I # 2729
India Vs South Africa,South Africa,9,Kagiso Rabada,c Yadav b Pandya,4,3,1,0,133.33,out,T20I # 2729
India Vs South Africa,South Africa,10,Anrich Nortje,not out,1,1,0,0,100,not_out,T20I # 2729
P.N.G. Vs New Zealand,P.N.G.,1,Tony Ura,c Phillips b Southee,1,2,0,0,50,out,T20I # 2702
P.N.G. Vs New Zealand,P.N.G.,2,Assad Vala,c Mitchell b Ferguson,6,16,1,0,37.5,out,T20I # 2702
P.N.G. Vs New Zealand,P.N.G.,3,Charles Amini,lbw b Ferguson,17,25,2,0,68,out,T20I # 2702
P.N.G. Vs New Zealand,P.N.G.,4,Sese Bau,c Allen b Santner,12,27,1,0,44.44,out,T20I # 2702
